2025-12-02 12:17:01 | INFO | uvicorn.error | Shutting down
2025-12-02 12:17:01 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-02 12:17:01 | INFO | uvicorn.error | Application shutdown complete.
2025-12-02 12:17:01 | INFO | uvicorn.error | Finished server process [60035]
2025-12-02 12:17:05 | INFO | app.main | ✅ Tenant detection middleware enabled
2025-12-02 12:17:05 | INFO | app.main | ✅ Security headers middleware enabled
2025-12-02 12:17:05 | INFO | app.main | ✅ CORS preflight middleware enabled
2025-12-02 12:17:08 | DEBUG | app.db.session | Session scope opened
2025-12-02 12:17:08 | DEBUG | app.db.session | Session scope committed
2025-12-02 12:17:08 | DEBUG | app.db.session | Session scope closed
2025-12-02 12:17:09 | INFO | app.main | Application initialized
2025-12-02 12:17:09 | INFO | uvicorn.error | Started server process [64179]
2025-12-02 12:17:09 | INFO | uvicorn.error | Waiting for application startup.
2025-12-02 12:17:09 | INFO | uvicorn.error | Application startup complete.
2025-12-02 12:17:58 | DEBUG | app.middleware.tenant | Detecting studio from host: localhost
2025-12-02 12:17:58 | INFO | app.middleware.tenant | 🔧 Development mode: Using 'demo' studio for localhost
2025-12-02 12:17:58 | INFO | app.middleware.tenant | ✅ Found demo studio for localhost: Demo Photography Studio
2025-12-02 12:17:58 | DEBUG | app.middleware.tenant | 📍 Request for studio: Demo Photography Studio (24cf1e21-d52c-4808-bb8a-bd382f52865b)
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session opened
2025-12-02 12:17:58 | DEBUG | app.api.deps | Optional studio resolved: Demo Photography Studio (24cf1e21-d52c-4808-bb8a-bd382f52865b)
2025-12-02 12:17:58 | DEBUG | app.services.cache_service | Cache MISS: studio:theme:24cf1e21-d52c-4808-bb8a-bd382f52865b
2025-12-02 12:17:58 | DEBUG | app.services.cache_service | Cache SET: studio:theme:24cf1e21-d52c-4808-bb8a-bd382f52865b (TTL: 1800s)
2025-12-02 12:17:58 | INFO | uvicorn.access | 127.0.0.1:60930 - "GET /api/studio/current HTTP/1.1" 200
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session committed
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session closed
2025-12-02 12:17:58 | DEBUG | app.middleware.tenant | Detecting studio from host: localhost
2025-12-02 12:17:58 | INFO | app.middleware.tenant | 🔧 Development mode: Using 'demo' studio for localhost
2025-12-02 12:17:58 | INFO | app.middleware.tenant | ✅ Found demo studio for localhost: Demo Photography Studio
2025-12-02 12:17:58 | DEBUG | app.middleware.tenant | 📍 Request for studio: Demo Photography Studio (24cf1e21-d52c-4808-bb8a-bd382f52865b)
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session opened
2025-12-02 12:17:58 | DEBUG | app.api.deps | Optional studio resolved: Demo Photography Studio (24cf1e21-d52c-4808-bb8a-bd382f52865b)
2025-12-02 12:17:58 | DEBUG | app.services.cache_service | Cache HIT: studio:theme:24cf1e21-d52c-4808-bb8a-bd382f52865b
2025-12-02 12:17:58 | INFO | uvicorn.access | 127.0.0.1:60934 - "GET /api/studio/current HTTP/1.1" 200
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session committed
2025-12-02 12:17:58 | DEBUG | app.db.session | Database session closed
2025-12-02 12:18:29 | DEBUG | app.middleware.dynamic_cors | Loaded 8 custom domains from database
2025-12-02 12:18:29 | INFO | app.middleware.dynamic_cors | CORS cache refreshed: 32 custom domains
2025-12-02 12:18:29 | INFO | uvicorn.access | 127.0.0.1:60983 - "OPTIONS /api/auth/reset-password HTTP/1.1" 200
2025-12-02 12:18:29 | DEBUG | app.middleware.tenant | Skipping tenant detection for path: /api/auth/reset-password
2025-12-02 12:18:29 | DEBUG | app.db.session | Database session opened
2025-12-02 12:18:29 | INFO | uvicorn.access | 127.0.0.1:60985 - "POST /api/auth/reset-password HTTP/1.1" 200
2025-12-02 12:18:29 | DEBUG | app.db.session | Database session committed
2025-12-02 12:18:29 | DEBUG | app.db.session | Database session closed
2025-12-02 12:18:32 | INFO | uvicorn.access | 127.0.0.1:60983 - "OPTIONS /api/auth/me HTTP/1.1" 200
2025-12-02 12:18:32 | DEBUG | app.middleware.tenant | Detecting studio from host: localhost
2025-12-02 12:18:32 | INFO | app.middleware.tenant | 🔧 Development mode: Using 'demo' studio for localhost
2025-12-02 12:18:32 | INFO | app.middleware.tenant | ✅ Found demo studio for localhost: Demo Photography Studio
2025-12-02 12:18:32 | DEBUG | app.middleware.tenant | 📍 Request for studio: Demo Photography Studio (24cf1e21-d52c-4808-bb8a-bd382f52865b)
2025-12-02 12:18:32 | DEBUG | app.middleware.tenant | Skipping tenant detection for path: /api/auth/me
